gene_id,gene_biotype,gene_name
ENSG00000158109.14,protein_coding,TPRG1L
ENSG00000116213.15,protein_coding,WRAP73
ENSG00000078900.14,protein_coding,TP73
ENSG00000227589.1,antisense,RP5-1092A11.5
ENSG00000235131.1,antisense,RP5-1092A11.2
ENSG00000227372.11,transcribed_unitary_pseudogene,TP73-AS1
ENSG00000162592.9,protein_coding,CCDC27
ENSG00000235169.7,protein_coding,SMIM1
ENSG00000130764.9,protein_coding,LRRC47
ENSG00000266075.2,misc_RNA,RN7SL574P
ENSG00000272153.1,antisense,RP1-286D6.5
ENSG00000116198.12,protein_coding,CEP104
ENSG00000169598.15,protein_coding,DFFB
ENSG00000198912.10,protein_coding,C1orf174
ENSG00000236423.5,lincRNA,LINC01134
ENSG00000233304.6,lincRNA,LINC01346
ENSG00000226374.2,lincRNA,LINC01345
ENSG00000229280.1,processed_pseudogene,EEF1DP6
ENSG00000235054.3,lincRNA,LINC01777
ENSG00000227169.2,lincRNA,RP1-37J18.1
ENSG00000232596.2,lincRNA,LINC01646
ENSG00000196581.10,protein_coding,AJAP1
ENSG00000231510.1,lincRNA,RP11-542C10.1
ENSG00000260972.1,lincRNA,RP1-58B11.1
ENSG00000283356.1,unprocessed_pseudogene,RP3-491M17.1
ENSG00000236948.2,lincRNA,RP11-154H17.1
ENSG00000264341.1,miRNA,MIR4417
ENSG00000264101.1,miRNA,MIR4689
ENSG00000131697.17,protein_coding,NPHP4
ENSG00000069424.14,protein_coding,KCNAB2
ENSG00000116254.17,protein_coding,CHD5
ENSG00000116251.9,protein_coding,RPL22
ENSG00000226944.1,antisense,RP1-120G22.11
ENSG00000158286.12,protein_coding,RNF207
ENSG00000116237.15,protein_coding,ICMT
ENSG00000225077.2,lincRNA,LINC00337
ENSG00000173673.7,protein_coding,HES3
ENSG00000158292.6,protein_coding,GPR153
ENSG00000097021.19,protein_coding,ACOT7
ENSG00000069812.11,protein_coding,HES2
ENSG00000187017.15,protein_coding,ESPN
ENSG00000265392.1,miRNA,MIR4252
ENSG00000231868.1,antisense,RP1-202O8.2
ENSG00000215788.9,protein_coding,TNFRSF25
ENSG00000171680.21,protein_coding,PLEKHG5
ENSG00000162408.10,protein_coding,NOL9
ENSG00000253022.1,snRNA,RNU6-731P
ENSG00000229519.2,processed_pseudogene,RP11-58A11.2
ENSG00000173662.20,protein_coding,TAS1R1
ENSG00000204859.12,protein_coding,ZBTB48
ENSG00000162413.16,protein_coding,KLHL21
ENSG00000116273.5,protein_coding,PHF13
ENSG00000041988.15,protein_coding,THAP3
ENSG00000007923.15,protein_coding,DNAJC11
ENSG00000228750.6,lincRNA,LINC01672
ENSG00000237436.1,antisense,RP11-312B8.1
ENSG00000171735.18,protein_coding,CAMTA1
ENSG00000227950.1,processed_pseudogene,RP11-312B8.2
ENSG00000237365.1,antisense,RP11-334N17.1
ENSG00000207056.1,snRNA,RNU1-8P
ENSG00000237402.1,sense_intronic,CAMTA1-IT1
ENSG00000237728.2,antisense,RP3-453P22.2
ENSG00000225126.1,antisense,RP4-549F15.1
ENSG00000270171.1,lincRNA,RP11-338N10.1
ENSG00000270035.1,lincRNA,RP11-338N10.2
ENSG00000269978.1,lincRNA,RP11-338N10.3
ENSG00000049245.12,protein_coding,VAMP3
ENSG00000269925.1,sense_intronic,RP3-467L1.6
ENSG00000049246.14,protein_coding,PER3
ENSG00000236266.1,antisense,RP3-467L1.4
ENSG00000049247.13,protein_coding,UTS2
ENSG00000049249.8,protein_coding,TNFRSF9
ENSG00000270330.1,processed_pseudogene,RP5-892F13.2
ENSG00000116288.12,protein_coding,PARK7
ENSG00000200344.1,misc_RNA,Y_RNA
ENSG00000116285.12,protein_coding,ERRFI1
ENSG00000238290.1,lincRNA,RP11-431K24.1
ENSG00000232848.1,processed_pseudogene,CTA-215D11.4
ENSG00000229305.1,processed_pseudogene,RP11-431K24.2
ENSG00000227634.2,lincRNA,LINC01714
ENSG00000200975.1,snRNA,RNU1-7P
ENSG00000233645.1,lincRNA,RP11-431K24.4
ENSG00000251977.1,snRNA,RNU6-991P
ENSG00000162426.14,protein_coding,SLC45A1
ENSG00000252254.1,misc_RNA,Y_RNA
ENSG00000142599.17,protein_coding,RERE
ENSG00000232912.5,antisense,RP5-1115A15.1
ENSG00000221083.1,snoRNA,SNORA77
ENSG00000270282.1,processed_pseudogene,RP5-1115A15.2
ENSG00000234619.1,processed_pseudogene,RPL7P11
ENSG00000224315.2,processed_pseudogene,RPL7P7
ENSG00000222511.2,misc_RNA,Y_RNA
ENSG00000226545.1,unprocessed_pseudogene,RP4-633I8.3
ENSG00000228423.2,lincRNA,RP4-633I8.4
ENSG00000229716.2,processed_pseudogene,RPL23AP19
ENSG00000074800.13,protein_coding,ENO1
ENSG00000274258.1,miRNA,MIR6728
ENSG00000236269.1,sense_intronic,ENO1-IT1
ENSG00000230679.1,antisense,ENO1-AS1
ENSG00000201725.1,snRNA,RNU6-304P
ENSG00000238249.2,processed_pseudogene,HMGN2P17
ENSG00000232208.2,processed_pseudogene,RP3-477M7.5
ENSG00000232663.2,processed_pseudogene,RP3-477M7.6
ENSG00000131686.14,protein_coding,CA6
ENSG00000265141.2,misc_RNA,RN7SL451P
ENSG00000197241.3,protein_coding,SLC2A7
ENSG00000142583.17,protein_coding,SLC2A5
ENSG00000252404.1,scaRNA,SCARNA16
ENSG00000180758.11,protein_coding,GPR157
ENSG00000228526.6,lincRNA,MIR34AHG
ENSG00000234546.3,lincRNA,LINC01759
ENSG00000281937.1,lincRNA,RP3-510D11.4
ENSG00000049239.12,protein_coding,H6PD
ENSG00000171621.13,protein_coding,SPSB1
ENSG00000252956.1,rRNA,RNA5SP40
ENSG00000235263.1,lincRNA,RP13-392I16.1
ENSG00000171612.6,protein_coding,SLC25A33
ENSG00000231181.1,processed_pseudogene,RP13-15M17.1
ENSG00000188807.12,protein_coding,TMEM201
ENSG00000171608.15,protein_coding,PIK3CD
ENSG00000179840.5,antisense,PIK3CD-AS1
ENSG00000233268.3,processed_pseudogene,RP11-558F24.2
ENSG00000231789.2,antisense,PIK3CD-AS2
ENSG00000171603.16,protein_coding,CLSTN1
ENSG00000271264.1,processed_pseudogene,MZT1P1
ENSG00000280113.2,TEC,RP11-84A14.7
ENSG00000178585.14,protein_coding,CTNNBIP1
ENSG00000162441.11,protein_coding,LZIC
ENSG00000228150.1,sense_intronic,RP11-84A14.4
ENSG00000173614.13,protein_coding,NMNAT1
ENSG00000202415.1,misc_RNA,RN7SKP269
ENSG00000283611.1,unitary_pseudogene,RP11-84A14.6
ENSG00000265521.1,miRNA,MIR5697
ENSG00000162444.11,protein_coding,RBP7
ENSG00000130939.18,protein_coding,UBE4B
ENSG00000224340.1,processed_pseudogene,RP11-496H15.2
ENSG00000233623.2,processed_pseudogene,PGAM1P11
ENSG00000201746.1,snRNA,RNU6-828P
ENSG00000054523.17,protein_coding,KIF1B
ENSG00000264881.1,miRNA,MIR1273D
ENSG00000199562.1,snRNA,RNU6-37P
ENSG00000142657.20,protein_coding,PGD
ENSG00000271989.1,antisense,RP4-736L20.3
ENSG00000175279.21,protein_coding,CENPS
ENSG00000241563.3,protein_coding,CORT
ENSG00000160049.11,protein_coding,DFFA
ENSG00000142655.12,protein_coding,PEX14
ENSG00000243267.3,misc_RNA,RN7SL614P
ENSG00000130940.14,protein_coding,CASZ1
ENSG00000272078.1,antisense,RP4-734G22.3
ENSG00000225158.2,processed_pseudogene,HSPE1P24
ENSG00000175262.14,protein_coding,C1orf127
ENSG00000215785.2,processed_pseudogene,CFL1P6
ENSG00000120948.16,protein_coding,TARDBP
ENSG00000009724.16,protein_coding,MASP2
ENSG00000271895.2,antisense,RP4-635E18.8
ENSG00000116649.9,protein_coding,SRM
ENSG00000171824.13,protein_coding,EXOSC10
ENSG00000226849.1,antisense,RP4-635E18.7
ENSG00000230337.1,antisense,RP4-635E18.6
ENSG00000198793.12,protein_coding,MTOR
ENSG00000225602.5,antisense,MTOR-AS1
ENSG00000253086.1,snRNA,RNU6-537P
ENSG00000171819.4,protein_coding,ANGPTL7
ENSG00000207451.1,snRNA,RNU6-291P
ENSG00000238173.1,processed_pseudogene,RPL39P6
ENSG00000120942.13,protein_coding,UBIAD1
ENSG00000238199.1,processed_pseudogene,UBE2V2P3
ENSG00000224338.2,processed_pseudogene,MTCYBP45
ENSG00000204624.7,protein_coding,DISP3
ENSG00000235643.1,lincRNA,LINC01647
ENSG00000116661.9,protein_coding,FBXO2
ENSG00000132879.13,protein_coding,FBXO44
ENSG00000116663.10,protein_coding,FBXO6
ENSG00000116670.14,protein_coding,MAD2L2
ENSG00000162490.6,protein_coding,DRAXIN
ENSG00000177674.15,protein_coding,AGTRAP
ENSG00000215910.7,protein_coding,C1orf167
ENSG00000177553.6,antisense,RP11-56N19.5
ENSG00000177000.10,protein_coding,MTHFR
ENSG00000011021.21,protein_coding,CLCN6
ENSG00000242349.5,antisense,NPPA-AS1
ENSG00000175206.10,protein_coding,NPPA
ENSG00000120937.8,protein_coding,NPPB
ENSG00000224904.1,processed_pseudogene,RP5-934G17.6
ENSG00000199347.1,snRNA,RNU5E-1
ENSG00000201801.1,snRNA,RNU5E-4P
ENSG00000116685.15,protein_coding,KIAA2013
ENSG00000083444.16,protein_coding,PLOD1
ENSG00000116688.16,protein_coding,MFN2
ENSG00000270914.1,processed_pseudogene,RP5-1077B9.5
ENSG00000116691.10,protein_coding,MIIP
ENSG00000202461.1,misc_RNA,Y_RNA
ENSG00000276869.1,miRNA,MIR6729
ENSG00000243539.3,misc_RNA,RN7SL649P
ENSG00000120949.14,protein_coding,TNFRSF8
ENSG00000201135.1,snRNA,RNU6-777P
ENSG00000227875.2,processed_pseudogene,RPL23AP89
ENSG00000283789.1,miRNA,MIR7846
ENSG00000028137.18,protein_coding,TNFRSF1B
ENSG00000263676.1,miRNA,MIR4632
ENSG00000225196.2,processed_pseudogene,RPL10P17
ENSG00000252969.1,snoRNA,SNORA70
ENSG00000048707.13,protein_coding,VPS13D
ENSG00000239149.1,snoRNA,SNORA59A
ENSG00000229484.1,lincRNA,RP5-888M10.2
ENSG00000162496.8,protein_coding,DHRS3
ENSG00000221340.1,snRNA,RNU6ATAC18P
ENSG00000276830.1,miRNA,MIR6730
ENSG00000272482.1,lincRNA,RP11-474O21.5
ENSG00000204518.2,protein_coding,AADACL4
ENSG00000226166.2,processed_pseudogene,RP11-474O21.2
ENSG00000188984.11,protein_coding,AADACL3
ENSG00000157330.9,protein_coding,C1orf158
ENSG00000116726.4,protein_coding,PRAMEF12
ENSG00000116721.9,protein_coding,PRAMEF1
ENSG00000228338.1,lincRNA,LINC01784
ENSG00000239810.3,protein_coding,PRAMEF11
ENSG00000231103.2,unprocessed_pseudogene,PRAMEF30P
ENSG00000179172.9,protein_coding,HNRNPCL1
ENSG00000120952.4,protein_coding,PRAMEF2
ENSG00000243073.3,protein_coding,PRAMEF4
ENSG00000187545.5,protein_coding,PRAMEF10
ENSG00000204510.5,protein_coding,PRAMEF7
ENSG00000207434.1,snRNA,RNU6-1072P
ENSG00000234064.1,unprocessed_pseudogene,PRAMEF29P
ENSG00000232423.6,protein_coding,PRAMEF6
ENSG00000274178.2,unprocessed_pseudogene,PRAMEF28P
ENSG00000274764.5,protein_coding,PRAMEF27
ENSG00000277058.2,protein_coding,HNRNPCL3
ENSG00000229571.7,protein_coding,PRAMEF25
ENSG00000277862.1,unprocessed_pseudogene,PRAMEF34P
ENSG00000236179.1,unprocessed_pseudogene,PRAMEF35P
ENSG00000275774.2,protein_coding,HNRNPCL2
ENSG00000229978.1,transcribed_unprocessed_pseudogene,PRAMEF36P
ENSG00000233336.1,lincRNA,RP13-221M14.2
ENSG00000280267.4,protein_coding,PRAMEF26
ENSG00000179412.10,protein_coding,HNRNPCL4
ENSG00000204505.4,protein_coding,PRAMEF9
ENSG00000279169.2,protein_coding,PRAMEF13
ENSG00000279804.2,protein_coding,PRAMEF18
ENSG00000250894.1,unprocessed_pseudogene,PRAMEF31P
ENSG00000270601.4,protein_coding,PRAMEF5
ENSG00000231219.1,unprocessed_pseudogene,PRAMEF32P
ENSG00000207511.1,snRNA,RNU6-771P
ENSG00000182330.10,protein_coding,PRAMEF8
ENSG00000237700.2,protein_coding,PRAMEF33
ENSG00000204501.7,protein_coding,PRAMEF15
ENSG00000228229.2,lincRNA,RP11-219C24.10
ENSG00000204481.7,protein_coding,PRAMEF14
ENSG00000204480.7,protein_coding,PRAMEF19
ENSG00000204479.4,protein_coding,PRAMEF17
ENSG00000204478.9,protein_coding,PRAMEF20
ENSG00000162494.5,protein_coding,LRRC38
ENSG00000259961.1,antisense,RP4-597A16.2
ENSG00000215909.3,processed_pseudogene,BRWD1P1
ENSG00000162493.16,protein_coding,PDPN
ENSG00000222952.1,rRNA,RNA5SP41
ENSG00000237445.2,lincRNA,CTA-520D8.2
ENSG00000253085.1,scaRNA,SCARNA11
ENSG00000116731.22,protein_coding,PRDM2
ENSG00000189337.16,protein_coding,KAZN
ENSG00000252151.1,snRNA,RNU6-1265P
ENSG00000231606.1,lincRNA,RP11-344F13.1
ENSG00000234593.2,lincRNA,RP4-704D23.1
ENSG00000235829.1,processed_pseudogene,TBCAP2
ENSG00000175147.11,antisense,TMEM51-AS1
ENSG00000171729.13,protein_coding,TMEM51
ENSG00000204464.7,lincRNA,C1orf195
ENSG00000215720.4,processed_pseudogene,RP1-21O18.3
ENSG00000278480.1,processed_pseudogene,RP5-903E17.2
ENSG00000142621.19,protein_coding,FHAD1
ENSG00000233485.1,antisense,RP3-467K16.2
ENSG00000236045.1,antisense,RP3-467K16.7
ENSG00000228140.1,lincRNA,RP3-467K16.4
ENSG00000142634.12,protein_coding,EFHD2
ENSG00000162438.11,protein_coding,CTRC
ENSG00000142615.7,protein_coding,CELA2A
ENSG00000215704.9,protein_coding,CELA2B
ENSG00000132906.17,protein_coding,CASP9
ENSG00000116138.12,protein_coding,DNAJC16
ENSG00000251866.1,scaRNA,SCARNA21
ENSG00000272510.1,antisense,RP4-680D5.8
ENSG00000116771.5,protein_coding,AGMAT
ENSG00000237301.1,antisense,RP4-680D5.2
ENSG00000235084.3,processed_pseudogene,CHCHD2P6
ENSG00000252417.1,snRNA,RNU7-179P
ENSG00000236500.1,processed_pseudogene,CD24P1
ENSG00000197312.11,protein_coding,DDI2
ENSG00000271742.1,lincRNA,RP4-680D5.9
ENSG00000116786.11,protein_coding,PLEKHM2
ENSG00000237938.5,antisense,RP11-288I21.1
ENSG00000162461.7,protein_coding,SLC25A34
ENSG00000224459.1,antisense,RP11-169K16.4
ENSG00000162460.6,protein_coding,TMEM82
ENSG00000162458.12,protein_coding,FBLIM1
ENSG00000224321.1,processed_pseudogene,RPL12P14
ENSG00000233954.6,protein_coding,UQCRHL
ENSG00000178715.8,processed_pseudogene,RP11-169K16.8
ENSG00000179743.4,antisense,FLJ37453
ENSG00000065526.10,protein_coding,SPEN
ENSG00000270620.1,unprocessed_pseudogene,RP1-134O19.3
ENSG00000116809.11,protein_coding,ZBTB17
ENSG00000234607.2,processed_pseudogene,RP11-5P18.1
ENSG00000231353.1,unprocessed_pseudogene,RP11-5P18.3
ENSG00000275503.1,processed_pseudogene,RP11-5P18.11
ENSG00000224966.4,unprocessed_pseudogene,TBC1D3P6
ENSG00000183888.4,protein_coding,C1orf64
ENSG00000173641.17,protein_coding,HSPB7
ENSG00000186510.11,protein_coding,CLCNKA
ENSG00000232456.1,unprocessed_pseudogene,RP11-5P18.10
ENSG00000184908.17,protein_coding,CLCNKB
ENSG00000185519.8,protein_coding,FAM131C
ENSG00000142627.12,protein_coding,EPHA2
ENSG00000227959.1,antisense,RP11-276H7.2
ENSG00000224621.1,antisense,RP11-276H7.3
ENSG00000142632.16,protein_coding,ARHGEF19
ENSG00000237276.8,transcribed_unprocessed_pseudogene,ANO7L1
ENSG00000132881.11,protein_coding,RSG1
ENSG00000233929.1,processed_pseudogene,MT1XP1
ENSG00000037637.10,protein_coding,FBXO42
ENSG00000055070.16,protein_coding,SZRD1
ENSG00000226457.1,processed_pseudogene,RP11-430L17.1
ENSG00000187144.11,protein_coding,SPATA21
ENSG00000157191.19,protein_coding,NECAP2
ENSG00000226029.1,lincRNA,LINC01772
ENSG00000080947.14,transcribed_unprocessed_pseudogene,CROCCP3
ENSG00000206652.1,snRNA,RNU1-1
ENSG00000261135.1,lincRNA,RP4-798A10.7
ENSG00000224174.2,lincRNA,RP4-798A10.4
ENSG00000233421.4,lincRNA,LINC01783
ENSG00000277344.1,snRNA,RNU1-6P
ENSG00000268991.2,protein_coding,FAM231B
ENSG00000225710.1,unprocessed_pseudogene,RP5-875O13.6
ENSG00000219481.10,protein_coding,NBPF1
ENSG00000271732.1,lincRNA,RP5-1182A14.5
ENSG00000215908.10,transcribed_unprocessed_pseudogene,CROCCP2
ENSG00000186301.8,unprocessed_pseudogene,MST1P2
ENSG00000282143.1,lincRNA,RP1-163M9.8
ENSG00000207513.1,snRNA,RNU1-3
ENSG00000237847.2,protein_coding,FAM231A
ENSG00000280114.1,unprocessed_pseudogene,RP5-875O13.7
ENSG00000236698.1,processed_pseudogene,EIF1AXP1
ENSG00000268869.5,transcribed_unprocessed_pseudogene,ESPNP
ENSG00000279151.1,lincRNA,RP1-163M9.7
ENSG00000279132.2,protein_coding,FAM231C
ENSG00000282740.1,lincRNA,RP5-1182A14.7
ENSG00000058453.16,protein_coding,CROCC
ENSG00000227684.2,transcribed_unprocessed_pseudogene,CROCCP4
ENSG00000207389.1,snRNA,RNU1-4
ENSG00000186715.10,transcribed_unprocessed_pseudogene,MST1L
ENSG00000223643.6,lincRNA,RP11-108M9.1
ENSG00000230239.1,lincRNA,RP11-108M9.2
ENSG00000263811.1,miRNA,MIR3675
ENSG00000228549.3,lincRNA,RP11-108M9.3
ENSG00000238142.1,lincRNA,RP11-108M9.4
ENSG00000235241.1,processed_pseudogene,RP11-108M9.5
ENSG00000207005.1,snRNA,RNU1-2
ENSG00000272426.1,lincRNA,RP11-108M9.6
ENSG00000117122.13,protein_coding,MFAP2
ENSG00000226526.1,antisense,RP1-37C10.3
ENSG00000159363.17,protein_coding,ATP13A2
ENSG00000117118.9,protein_coding,SDHB
ENSG00000117115.12,protein_coding,PADI2
ENSG00000204362.6,lincRNA,RP11-380J14.1
ENSG00000282843.1,lincRNA,RP11-380J14.4
ENSG00000142623.9,protein_coding,PADI1
ENSG00000142619.4,protein_coding,PADI3
ENSG00000266634.1,miRNA,MIR3972
ENSG00000159339.13,protein_coding,PADI4
ENSG00000276747.1,protein_coding,PADI6
ENSG00000179051.13,protein_coding,RCC2
