case_id,slide_id,label,tissue,tissue_idx
GTEX-15DYW,GTEX-15DYW-2925,gen_exp,Vagina,38.0
GTEX-13FHP,GTEX-13FHP-1525,gen_exp,EsophagusMucosa,10.0
GTEX-13FTX,GTEX-13FTX-1825,gen_exp,Skin,28.0
GTEX-1QPFJ,GTEX-1QPFJ-1125,gen_exp,Liver,17.0
GTEX-16NPV,GTEX-16NPV-2425,gen_exp,SkeletalMuscle,27.0
GTEX-132NY,GTEX-132NY-1225,gen_exp,Lung,18.0
GTEX-1CB4J,GTEX-1CB4J-0125,gen_exp,Aorta,2.0
GTEX-1IKJJ,GTEX-1IKJJ-2125,gen_exp,Testis,32.0
GTEX-ZZPT,GTEX-ZZPT-0925,gen_exp,AtrialAppendage,3.0
GTEX-117XS,GTEX-117XS-0725,gen_exp,AtrialAppendage,3.0
GTEX-17JCI,GTEX-17JCI-3025,gen_exp,BrainCerebellum,4.0
GTEX-1CAV2,GTEX-1CAV2-0125,gen_exp,SuprapubicSkin,31.0
GTEX-178AV,GTEX-178AV-0325,gen_exp,Lung,18.0
GTEX-OIZI,GTEX-OIZI-0125,gen_exp,Testis,32.0
GTEX-11DZ1,GTEX-11DZ1-2425,gen_exp,SuprapubicSkin,31.0
GTEX-1AX9I,GTEX-1AX9I-1625,gen_exp,Liver,17.0
GTEX-XYKS,GTEX-XYKS-0825,gen_exp,ThyroidGland,33.0
GTEX-16BQI,GTEX-16BQI-0725,gen_exp,ThyroidGland,33.0
GTEX-11WQC,GTEX-11WQC-2525,gen_exp,Skin,28.0
GTEX-14PJ5,GTEX-14PJ5-0425,gen_exp,Omentum,21.0
GTEX-145MO,GTEX-145MO-1225,gen_exp,Aorta,2.0
GTEX-1GZ4I,GTEX-1GZ4I-2325,gen_exp,Omentum,21.0
GTEX-ZVZP,GTEX-ZVZP-1825,gen_exp,Ileum,14.0
GTEX-14PJ3,GTEX-14PJ3-1725,gen_exp,Prostate,25.0
GTEX-15RIE,GTEX-15RIE-1025,gen_exp,Stomach,30.0
GTEX-13W3W,GTEX-13W3W-2425,gen_exp,Skin,28.0
GTEX-ZPU1,GTEX-ZPU1-1725,gen_exp,SigmoidColon,26.0
GTEX-1I1GP,GTEX-1I1GP-2425,gen_exp,Testis,32.0
GTEX-RVPV,GTEX-RVPV-1725,gen_exp,Lung,18.0
GTEX-1QP67,GTEX-1QP67-1825,gen_exp,SkeletalMuscle,27.0
GTEX-13OVH,GTEX-13OVH-0425,gen_exp,TibialArtery,34.0
GTEX-11NV4,GTEX-11NV4-0825,gen_exp,AtrialAppendage,3.0
GTEX-OIZH,GTEX-OIZH-0925,gen_exp,Spleen,29.0
GTEX-1C4CL,GTEX-1C4CL-1425,gen_exp,GastroesophagealJunction,12.0
GTEX-1PIGE,GTEX-1PIGE-0925,gen_exp,EsophagusMucosa,10.0
GTEX-1C64O,GTEX-1C64O-2225,gen_exp,Stomach,30.0
GTEX-1QPFJ,GTEX-1QPFJ-0225,gen_exp,Skin,28.0
GTEX-1192X,GTEX-1192X-3025,gen_exp,PituitaryGland,24.0
GTEX-18D9B,GTEX-18D9B-0425,gen_exp,SkeletalMuscle,27.0
GTEX-117YX,GTEX-117YX-2325,gen_exp,Skin,28.0
GTEX-12WSD,GTEX-12WSD-0525,gen_exp,SkeletalMuscle,27.0
GTEX-PW2O,GTEX-PW2O-1725,gen_exp,SkeletalMuscle,27.0
GTEX-1QAET,GTEX-1QAET-0825,gen_exp,CoronaryArtery,7.0
GTEX-1399T,GTEX-1399T-3025,gen_exp,BrainCortex,5.0
GTEX-Y111,GTEX-Y111-1825,gen_exp,GastroesophagealJunction,12.0
GTEX-13FHO,GTEX-13FHO-1625,gen_exp,Aorta,2.0
GTEX-1KD5A,GTEX-1KD5A-1425,gen_exp,Stomach,30.0
GTEX-ZDTT,GTEX-ZDTT-1125,gen_exp,Pancreas,23.0
GTEX-1B8SG,GTEX-1B8SG-1725,gen_exp,BrainCortex,5.0
GTEX-11ZVC,GTEX-11ZVC-3025,gen_exp,BrainCerebellum,4.0
GTEX-1HBPM,GTEX-1HBPM-1525,gen_exp,EsophagusMuscularis,11.0
GTEX-11DXX,GTEX-11DXX-1125,gen_exp,EsophagusMucosa,10.0
GTEX-13N1W,GTEX-13N1W-0325,gen_exp,TibialArtery,34.0
GTEX-12BJ1,GTEX-12BJ1-1925,gen_exp,Ileum,14.0
GTEX-1IDJU,GTEX-1IDJU-2025,gen_exp,Colon,6.0
GTEX-1BAJH,GTEX-1BAJH-0425,gen_exp,AdiposeTissue,0.0
GTEX-ZLV1,GTEX-ZLV1-0225,gen_exp,AdrenalGlands,1.0
GTEX-1HSMQ,GTEX-1HSMQ-2025,gen_exp,EsophagusMucosa,10.0
GTEX-15UF7,GTEX-15UF7-1525,gen_exp,AtrialAppendage,3.0
GTEX-QMRM,GTEX-QMRM-1725,gen_exp,AdiposeTissue,0.0
GTEX-14BMU,GTEX-14BMU-2425,gen_exp,TibialArtery,34.0
GTEX-14BIN,GTEX-14BIN-2625,gen_exp,EsophagusMuscularis,11.0
GTEX-PWN1,GTEX-PWN1-0725,gen_exp,EsophagusMuscularis,11.0
GTEX-ZZ64,GTEX-ZZ64-1425,gen_exp,TibialNerve,35.0
GTEX-WRHU,GTEX-WRHU-1125,gen_exp,CoronaryArtery,7.0
GTEX-1JKYN,GTEX-1JKYN-1025,gen_exp,Testis,32.0
GTEX-18A7A,GTEX-18A7A-0325,gen_exp,AdiposeTissue,0.0
GTEX-VJYA,GTEX-VJYA-1825,gen_exp,TibialArtery,34.0
GTEX-QDVN,GTEX-QDVN-2025,gen_exp,Skin,28.0
GTEX-15EO6,GTEX-15EO6-0925,gen_exp,GastroesophagealJunction,12.0
GTEX-1N2DV,GTEX-1N2DV-0525,gen_exp,SkeletalMuscle,27.0
GTEX-11DZ1,GTEX-11DZ1-0225,gen_exp,AdiposeTissue,0.0
GTEX-14PJ2,GTEX-14PJ2-1225,gen_exp,Aorta,2.0
GTEX-R55C,GTEX-R55C-1425,gen_exp,Testis,32.0
GTEX-1QCLZ,GTEX-1QCLZ-1525,gen_exp,GastroesophagealJunction,12.0
GTEX-17HGU,GTEX-17HGU-2425,gen_exp,Colon,6.0
GTEX-1IDJF,GTEX-1IDJF-1225,gen_exp,EsophagusMucosa,10.0
GTEX-1CB4G,GTEX-1CB4G-0225,gen_exp,Skin,28.0
GTEX-14C5O,GTEX-14C5O-3025,gen_exp,BrainCortex,5.0
GTEX-16NGA,GTEX-16NGA-1825,gen_exp,AdiposeTissue,0.0
GTEX-1LH75,GTEX-1LH75-2125,gen_exp,Colon,6.0
GTEX-13OVL,GTEX-13OVL-2925,gen_exp,MinorSalivaryGlands,20.0
GTEX-ZVTK,GTEX-ZVTK-0425,gen_exp,Skin,28.0
GTEX-1I1HK,GTEX-1I1HK-0325,gen_exp,SkeletalMuscle,27.0
GTEX-13X6K,GTEX-13X6K-3025,gen_exp,PituitaryGland,24.0
GTEX-1F75B,GTEX-1F75B-0425,gen_exp,TibialArtery,34.0
GTEX-1S831,GTEX-1S831-1225,gen_exp,Prostate,25.0
GTEX-1GN1W,GTEX-1GN1W-1925,gen_exp,MammaryTissueBreast,19.0
GTEX-ZVT3,GTEX-ZVT3-0325,gen_exp,TibialNerve,35.0
GTEX-1JK1U,GTEX-1JK1U-2425,gen_exp,TibialNerve,35.0
GTEX-ZZPU,GTEX-ZZPU-0225,gen_exp,Aorta,2.0
GTEX-XGQ4,GTEX-XGQ4-0325,gen_exp,Heart,13.0
GTEX-YJ89,GTEX-YJ89-2925,gen_exp,BrainCerebellum,4.0
GTEX-ZAB5,GTEX-ZAB5-1825,gen_exp,Skin,28.0
GTEX-S32W,GTEX-S32W-1425,gen_exp,Uterus,37.0
GTEX-Y9LG,GTEX-Y9LG-0925,gen_exp,GastroesophagealJunction,12.0
GTEX-13O3P,GTEX-13O3P-0525,gen_exp,TibialArtery,34.0
GTEX-1KD5A,GTEX-1KD5A-0825,gen_exp,Aorta,2.0
GTEX-131YS,GTEX-131YS-2225,gen_exp,Ovary,22.0
GTEX-1JJ6O,GTEX-1JJ6O-0425,gen_exp,TibialArtery,34.0
GTEX-ZYFG,GTEX-ZYFG-0825,gen_exp,Pancreas,23.0
GTEX-1F5PK,GTEX-1F5PK-1525,gen_exp,EsophagusMucosa,10.0
GTEX-1IDJC,GTEX-1IDJC-2025,gen_exp,SkeletalMuscle,27.0
GTEX-1PDJ9,GTEX-1PDJ9-1825,gen_exp,Ileum,14.0
GTEX-ZA64,GTEX-ZA64-0125,gen_exp,Aorta,2.0
GTEX-16MTA,GTEX-16MTA-1925,gen_exp,TibialArtery,34.0
GTEX-1M5QR,GTEX-1M5QR-0625,gen_exp,EsophagusMuscularis,11.0
GTEX-XV7Q,GTEX-XV7Q-0425,gen_exp,Lung,18.0
GTEX-YJ8O,GTEX-YJ8O-0125,gen_exp,CoronaryArtery,7.0
GTEX-1JJEA,GTEX-1JJEA-1525,gen_exp,Liver,17.0
GTEX-1J8EW,GTEX-1J8EW-0225,gen_exp,AdiposeTissue,0.0
GTEX-13PL7,GTEX-13PL7-0225,gen_exp,EsophagusMucosa,10.0
GTEX-1F5PK,GTEX-1F5PK-2225,gen_exp,SuprapubicSkin,31.0
GTEX-15SHW,GTEX-15SHW-0325,gen_exp,Skin,28.0
GTEX-14E1K,GTEX-14E1K-0225,gen_exp,Lung,18.0
GTEX-14PHX,GTEX-14PHX-1025,gen_exp,Stomach,30.0
GTEX-14JG6,GTEX-14JG6-1625,gen_exp,SigmoidColon,26.0
GTEX-1A3MW,GTEX-1A3MW-2225,gen_exp,KidneyCortex,15.0
GTEX-14JG6,GTEX-14JG6-2325,gen_exp,AdiposeTissue,0.0
GTEX-1CB4J,GTEX-1CB4J-1325,gen_exp,SuprapubicSkin,31.0
GTEX-14E6C,GTEX-14E6C-2825,gen_exp,Prostate,25.0
GTEX-15G19,GTEX-15G19-1125,gen_exp,Omentum,21.0
GTEX-11O72,GTEX-11O72-1325,gen_exp,Lung,18.0
GTEX-18A7B,GTEX-18A7B-2025,gen_exp,Colon,6.0
GTEX-V955,GTEX-V955-1025,gen_exp,EsophagusMuscularis,11.0
GTEX-1212Z,GTEX-1212Z-2425,gen_exp,AdiposeTissue,0.0
GTEX-12ZZY,GTEX-12ZZY-0225,gen_exp,Skin,28.0
GTEX-1313W,GTEX-1313W-2825,gen_exp,Uterus,37.0
GTEX-11WQC,GTEX-11WQC-2625,gen_exp,SkeletalMuscle,27.0
GTEX-145LU,GTEX-145LU-2825,gen_exp,PituitaryGland,24.0
GTEX-1HBPM,GTEX-1HBPM-0525,gen_exp,TibialNerve,35.0
GTEX-ZPIC,GTEX-ZPIC-1125,gen_exp,MammaryTissueBreast,19.0
GTEX-1AX8Z,GTEX-1AX8Z-0625,gen_exp,MinorSalivaryGlands,20.0
GTEX-1LVAN,GTEX-1LVAN-1025,gen_exp,Spleen,29.0
GTEX-1MGNQ,GTEX-1MGNQ-2025,gen_exp,Colon,6.0
GTEX-1LB8K,GTEX-1LB8K-0825,gen_exp,Lung,18.0
GTEX-1S82P,GTEX-1S82P-0725,gen_exp,MinorSalivaryGlands,20.0
GTEX-1F48J,GTEX-1F48J-0525,gen_exp,SkeletalMuscle,27.0
GTEX-Y5V5,GTEX-Y5V5-2725,gen_exp,TibialArtery,34.0
GTEX-X638,GTEX-X638-0325,gen_exp,SkeletalMuscle,27.0
GTEX-13VXU,GTEX-13VXU-0525,gen_exp,TibialArtery,34.0
GTEX-111FC,GTEX-111FC-3125,gen_exp,BrainCortex,5.0
GTEX-1GF9V,GTEX-1GF9V-3125,gen_exp,PituitaryGland,24.0
GTEX-1R9JW,GTEX-1R9JW-1525,gen_exp,EsophagusMucosa,10.0
GTEX-18465,GTEX-18465-0725,gen_exp,AtrialAppendage,3.0
GTEX-ZF2S,GTEX-ZF2S-1025,gen_exp,Heart,13.0
GTEX-XGQ4,GTEX-XGQ4-0825,gen_exp,Lung,18.0
GTEX-1S5VW,GTEX-1S5VW-2925,gen_exp,Colon,6.0
GTEX-1B8KZ,GTEX-1B8KZ-2325,gen_exp,TibialNerve,35.0
GTEX-12C56,GTEX-12C56-1625,gen_exp,AdiposeTissue,0.0
GTEX-146FH,GTEX-146FH-0125,gen_exp,Skin,28.0
GTEX-13NZB,GTEX-13NZB-2225,gen_exp,TibialArtery,34.0
GTEX-113JC,GTEX-113JC-1025,gen_exp,GastroesophagealJunction,12.0
GTEX-12WSJ,GTEX-12WSJ-1725,gen_exp,SkeletalMuscle,27.0
GTEX-11UD2,GTEX-11UD2-0825,gen_exp,Aorta,2.0
GTEX-13OVG,GTEX-13OVG-0825,gen_exp,Aorta,2.0
GTEX-1A32A,GTEX-1A32A-2025,gen_exp,GastroesophagealJunction,12.0
GTEX-1POEN,GTEX-1POEN-2225,gen_exp,MinorSalivaryGlands,20.0
GTEX-1B996,GTEX-1B996-1225,gen_exp,Omentum,21.0
GTEX-1I1GR,GTEX-1I1GR-1525,gen_exp,Liver,17.0
GTEX-YB5K,GTEX-YB5K-2126,gen_exp,Skin,28.0
GTEX-14E6C,GTEX-14E6C-0125,gen_exp,Skin,28.0
GTEX-11TUW,GTEX-11TUW-1325,gen_exp,EsophagusMucosa,10.0
GTEX-1JK1U,GTEX-1JK1U-0425,gen_exp,Aorta,2.0
GTEX-ZTPG,GTEX-ZTPG-2825,gen_exp,MammaryTissueBreast,19.0
GTEX-1JMQK,GTEX-1JMQK-0925,gen_exp,AtrialAppendage,3.0
GTEX-18A66,GTEX-18A66-0825,gen_exp,ThyroidGland,33.0
GTEX-13NZB,GTEX-13NZB-2025,gen_exp,Testis,32.0
GTEX-OHPK,GTEX-OHPK-2026,gen_exp,Uterus,37.0
GTEX-1IDJH,GTEX-1IDJH-2925,gen_exp,PituitaryGland,24.0
GTEX-RWS6,GTEX-RWS6-1025,gen_exp,Ovary,22.0
GTEX-1N2DV,GTEX-1N2DV-0625,gen_exp,Omentum,21.0
GTEX-11DYG,GTEX-11DYG-0125,gen_exp,Skin,28.0
