,train,val,test
24,GTEX-ZV7C-0325,GTEX-11DXZ-0625,GTEX-1A3MW-1325
25,GTEX-1122O-0825,GTEX-1POEN-0625,GTEX-18A6Q-1625
26,GTEX-117YW-0325,GTEX-XBEC-1325,GTEX-1JMOU-0225
27,GTEX-11TUW-1025,GTEX-1LGRB-1125,GTEX-17F9E-0925
28,GTEX-1269C-0825,GTEX-12WSD-1125,GTEX-1J8QM-0425
29,GTEX-12WSC-1125,GTEX-15ER7-1725,GTEX-OIZI-0925
30,GTEX-12ZZW-1025,GTEX-1R9JW-0525,GTEX-1GN73-2425
31,GTEX-13CF3-0725,GTEX-1F48J-1025,GTEX-X3Y1-0425
32,GTEX-13NYB-0225,GTEX-13W3W-0425,GTEX-1EH9U-0825
33,GTEX-13X6H-0425,,GTEX-YB5K-0125
34,GTEX-145MN-0625,,GTEX-PLZ5-0625
35,GTEX-148VJ-1525,,GTEX-11I78-0825
36,GTEX-14E1K-1025,,GTEX-ZGAY-0325
37,GTEX-14JG1-1025,,GTEX-1ICG6-0625
38,GTEX-14PK6-0825,,GTEX-14PN3-0525
39,GTEX-15CHQ-1525,,GTEX-1MCC2-0325
40,GTEX-15RJE-0625,,GTEX-1HFI7-0825
41,GTEX-15SHW-1225,,GTEX-15DYW-1125
42,GTEX-16MT8-0925,,
43,GTEX-17GQL-0525,,
44,GTEX-18A67-1225,,
45,GTEX-1EKGG-1125,,
46,GTEX-1F75I-1125,,
47,GTEX-1GL5R-0325,,
48,GTEX-1IDJF-0725,,
49,GTEX-1IL2U-1325,,
50,GTEX-1LSNM-0525,,
51,GTEX-1LVA9-0925,,
52,GTEX-1M5QR-1025,,
53,GTEX-1O9I2-1125,,
54,GTEX-1PPH7-2025,,
55,GTEX-1PWST-1025,,
56,GTEX-1R9PO-0325,,
57,GTEX-1RB15-0325,,
58,GTEX-1RMOY-0625,,
59,GTEX-1S3DN-0725,,
60,GTEX-OHPM-0325,,
61,GTEX-OIZH-0325,,
62,GTEX-OXRL-0325,,
63,GTEX-OXRO-2025,,
64,GTEX-QV44-0525,,
65,GTEX-R53T-0925,,
66,GTEX-WFON-0325,,
67,GTEX-X261-1425,,
68,GTEX-YEC3-0725,,
69,GTEX-ZAB5-0225,,
70,GTEX-ZEX8-0425,,
71,GTEX-ZF3C-1225,,
72,GTEX-ZLFU-0225,,
73,GTEX-ZPU1-0625,,
74,GTEX-ZUA1-0825,,
75,GTEX-117YX-1125,,
76,GTEX-11GS4-0525,,
77,GTEX-11LCK-0925,,
78,GTEX-11O72-1125,,
79,GTEX-11ONC-0125,,
80,GTEX-11TT1-1325,,
81,GTEX-11ZUS-0225,,
82,GTEX-11ZVC-0425,,
83,GTEX-1211K-0625,,
84,GTEX-1212Z-0625,,
85,GTEX-12584-0925,,
86,GTEX-12BJ1-0225,,
87,GTEX-12ZZY-1125,,
88,GTEX-1314G-0125,,
89,GTEX-131XH-0225,,
90,GTEX-132NY-1725,,
91,GTEX-132QS-0425,,
92,GTEX-1399R-1925,,
93,GTEX-13CF2-0425,,
94,GTEX-13FH7-0925,,
95,GTEX-13FHP-1025,,
96,GTEX-13FLV-0925,,
97,GTEX-13FTW-1025,,
98,GTEX-13JVG-1325,,
99,GTEX-13N1W-1025,,
100,GTEX-13O3O-1525,,
101,GTEX-13O3P-1625,,
102,GTEX-13O61-0525,,
103,GTEX-13OVL-0525,,
104,GTEX-13OW8-2125,,
105,GTEX-13PVQ-1225,,
106,GTEX-13RTJ-0725,,
107,GTEX-13S86-0225,,
108,GTEX-13SLX-1025,,
109,GTEX-13X6K-1825,,
110,GTEX-13YAN-1325,,
111,GTEX-145LV-0325,,
112,GTEX-145MO-1125,,
113,GTEX-147JS-1525,,
114,GTEX-14A6H-0225,,
115,GTEX-14BIL-1125,,
116,GTEX-14C38-1425,,
117,GTEX-14C39-0925,,
118,GTEX-14C5O-1325,,
119,GTEX-14E6C-0425,,
120,GTEX-14E7W-1225,,
121,GTEX-14PHX-2125,,
122,GTEX-14PHY-0225,,
123,GTEX-14PJ4-1125,,
124,GTEX-16BQI-0925,,
125,GTEX-16NPX-0925,,
126,GTEX-16YQH-0925,,
127,GTEX-17HGU-1025,,
128,GTEX-17HHY-1425,,
129,GTEX-17HII-1325,,
130,GTEX-17MF6-0725,,
131,GTEX-18465-0925,,
132,GTEX-18A66-1225,,
133,GTEX-18D9B-1225,,
134,GTEX-18D9U-1125,,
135,GTEX-1A3MX-1325,,
136,GTEX-1A8G6-1625,,
137,GTEX-1AX9I-1125,,
138,GTEX-1AX9J-1025,,
139,GTEX-1AX9K-0525,,
140,GTEX-1B8KE-0125,,
141,GTEX-1B8L1-0525,,
142,GTEX-1B8SG-0825,,
143,GTEX-1B996-1125,,
144,GTEX-1BAJH-1625,,
145,GTEX-1C64O-0825,,
146,GTEX-1C6VQ-1125,,
147,GTEX-1CB4E-0525,,
148,GTEX-1CB4I-1625,,
149,GTEX-1CB4J-0325,,
150,GTEX-1E1VI-1325,,
151,GTEX-1EMGI-1225,,
152,GTEX-1EN7A-0725,,
153,GTEX-1F5PK-0325,,
154,GTEX-1F6I4-0725,,
155,GTEX-1F6IF-2525,,
156,GTEX-1GF9V-1625,,
157,GTEX-1GMR2-1425,,
158,GTEX-1GMR3-0325,,
159,GTEX-1GN1V-0825,,
160,GTEX-1GN2E-1325,,
161,GTEX-1GTWX-1025,,
162,GTEX-1GZ4I-1025,,
163,GTEX-1H11D-1225,,
164,GTEX-1H1ZS-1125,,
165,GTEX-1H23P-1225,,
166,GTEX-1H3NZ-1125,,
167,GTEX-1HCU7-1325,,
168,GTEX-1HCVE-1125,,
169,GTEX-1HSMQ-0225,,
170,GTEX-1HT8W-1725,,
171,GTEX-1I1GP-0825,,
172,GTEX-1I1GV-1325,,
173,GTEX-1I1HK-0725,,
174,GTEX-1I6K7-0625,,
175,GTEX-1ICLZ-1025,,
176,GTEX-1IDJE-0325,,
177,GTEX-1IDJH-1025,,
178,GTEX-1IKJJ-0825,,
179,GTEX-1IKK5-1525,,
180,GTEX-1J8Q3-1225,,
181,GTEX-1JJ6O-2125,,
182,GTEX-1JJEA-0825,,
183,GTEX-1JK1U-0525,,
184,GTEX-1JMLX-1625,,
185,GTEX-1JMPZ-1425,,
186,GTEX-1JMQK-0625,,
187,GTEX-1JN6P-1125,,
188,GTEX-1KD4Q-0725,,
189,GTEX-1L5NE-0425,,
190,GTEX-1LB8K-1025,,
191,GTEX-1LC47-1025,,
192,GTEX-1LG7Y-1225,,
193,GTEX-1MJIX-0325,,
194,GTEX-1MUQO-1225,,
195,GTEX-1OFPY-1025,,
196,GTEX-1PPGY-1125,,
197,GTEX-1QP29-1525,,
198,GTEX-1QP2A-1125,,
199,GTEX-1R7EV-0325,,
200,GTEX-1R9K4-1325,,
201,GTEX-1R9K5-1325,,
202,GTEX-1RAZS-0825,,
203,GTEX-N7MS-0825,,
204,GTEX-O5YT-0325,,
205,GTEX-OIZG-1125,,
206,GTEX-OXRK-0825,,
207,GTEX-P4PQ-0325,,
208,GTEX-P4QS-0325,,
209,GTEX-PSDG-0925,,
210,GTEX-PVOW-0425,,
211,GTEX-Q2AH-0525,,
212,GTEX-QDVJ-0425,,
213,GTEX-QDVN-0325,,
214,GTEX-QEG4-0425,,
215,GTEX-QEG5-0925,,
216,GTEX-QLQ7-0525,,
217,GTEX-R55C-0325,,
218,GTEX-R55E-1025,,
219,GTEX-REY6-1025,,
220,GTEX-RNOR-0825,,
221,GTEX-RUSQ-0525,,
222,GTEX-SIU8-0825,,
223,GTEX-SUCS-0325,,
224,GTEX-U3ZH-0325,,
225,GTEX-U8XE-1125,,
226,GTEX-UJMC-0525,,
227,GTEX-V955-0725,,
228,GTEX-WFG7-0725,,
229,GTEX-WFG8-0625,,
230,GTEX-WH7G-0425,,
231,GTEX-WHSE-0925,,
232,GTEX-WL46-0925,,
233,GTEX-WY7C-0525,,
234,GTEX-WZTO-1325,,
235,GTEX-XBED-0525,,
236,GTEX-XPT6-0125,,
237,GTEX-XPVG-0825,,
238,GTEX-XQ8I-0125,,
239,GTEX-XXEK-0925,,
240,GTEX-Y3I4-0625,,
241,GTEX-Y5V5-0625,,
242,GTEX-Y5V6-0825,,
243,GTEX-Y8E4-0325,,
244,GTEX-YEC4-0325,,
245,GTEX-YF7O-0425,,
246,GTEX-ZAB4-1025,,
247,GTEX-ZDXO-0725,,
248,GTEX-ZDYS-0225,,
249,GTEX-ZF29-0225,,
250,GTEX-ZF2S-1025,,
251,GTEX-ZPCL-0425,,
252,GTEX-ZQUD-1525,,
253,GTEX-ZVZP-0225,,
254,GTEX-ZYFC-1125,,
255,GTEX-ZYFG-0425,,
256,GTEX-ZYT6-1725,,
257,GTEX-OIZF-0325,,
258,GTEX-P44H-0725,,
259,GTEX-QEL4-0925,,
260,GTEX-RN64-0825,,
261,GTEX-S33H-0525,,
262,GTEX-SNMC-0125,,
263,GTEX-T6MN-0925,,
264,GTEX-U4B1-0325,,
265,GTEX-12WSG-0525,,
266,GTEX-12WSK-0625,,
267,GTEX-1313W-1425,,
268,GTEX-132AR-2025,,
269,GTEX-13VXT-1125,,
270,GTEX-14BIN-2225,,
271,GTEX-15CHC-0425,,
272,GTEX-1B932-1025,,
273,GTEX-1B97J-0725,,
274,GTEX-1H1CY-0325,,
275,GTEX-1HSGN-1125,,
276,GTEX-1IDJI-1025,,
277,GTEX-1IKOE-1025,,
278,GTEX-1K9T9-1125,,
279,GTEX-1KANC-0425,,
280,GTEX-POMQ-0325,,
281,GTEX-R55G-0525,,
282,GTEX-RTLS-0825,,
283,GTEX-RU72-0325,,
284,GTEX-S32W-0625,,
285,GTEX-WI4N-0625,,
286,GTEX-WWYW-1325,,
287,GTEX-ZAJG-0825,,
288,GTEX-ZPIC-0825,,
289,GTEX-11DXX-0325,,
290,GTEX-11EM3-0625,,
291,GTEX-11EMC-0725,,
292,GTEX-11GSP-1325,,
293,GTEX-131XG-0625,,
294,GTEX-1399S-1025,,
295,GTEX-1399U-0525,,
296,GTEX-13D11-1725,,
297,GTEX-13N11-0425,,
298,GTEX-13PVR-1025,,
299,GTEX-13QBU-0425,,
300,GTEX-13U4I-0825,,
301,GTEX-146FH-1025,,
302,GTEX-146FR-0625,,
303,GTEX-14A5I-1225,,
304,GTEX-14DAQ-1125,,
305,GTEX-14H4A-0625,,
306,GTEX-14PJ6-0725,,
307,GTEX-14PJM-1125,,
308,GTEX-15SHU-1125,,
309,GTEX-17F9Y-1325,,
310,GTEX-17JCI-1125,,
311,GTEX-1CAMS-1325,,
312,GTEX-1EWIQ-1425,,
313,GTEX-1GF9U-0425,,
314,GTEX-1GN1W-0325,,
315,GTEX-1HBPH-0125,,
316,GTEX-1HBPM-1225,,
317,GTEX-1HCU6-1025,,
318,GTEX-1HCUA-0525,,
319,GTEX-1IDJU-0725,,
320,GTEX-1J8EW-0925,,
321,GTEX-1JN1M-1025,,
322,GTEX-1LH75-0425,,
323,GTEX-1LVAN-1725,,
324,GTEX-1QCLZ-0925,,
325,GTEX-1QPFJ-1025,,
326,GTEX-N7MT-1325,,
327,GTEX-OHPK-0326,,
328,GTEX-OHPL-0325,,
329,GTEX-P4PP-0325,,
330,GTEX-P78B-0425,,
331,GTEX-PWCY-0525,,
332,GTEX-PX3G-0325,,
333,GTEX-QVJO-1925,,
334,GTEX-RWS6-0325,,
335,GTEX-SE5C-0625,,
336,GTEX-T2IS-0425,,
337,GTEX-U3ZN-1425,,
338,GTEX-UJHI-0425,,
339,GTEX-WEY5-0425,,
340,GTEX-WRHU-1225,,
341,GTEX-X15G-0425,,
342,GTEX-X8HC-1625,,
343,GTEX-XV7Q-0825,,
344,GTEX-Y114-0225,,
345,GTEX-Y3IK-0825,,
346,GTEX-YFC4-0525,,
347,GTEX-YJ8O-0925,,
348,GTEX-ZTPG-1225,,
349,GTEX-ZVT2-1025,,
350,GTEX-ZZPU-0925,,
