,train,val,test
34,GTEX-14E6D-0325,GTEX-YJ89-2925,GTEX-13OW5-0125
35,GTEX-14E6D-0225,GTEX-YJ89-3025,GTEX-13OW5-2225
36,GTEX-14E6D-0925,GTEX-YJ89-0625,GTEX-13OW5-2825
37,GTEX-14E6D-1025,GTEX-YJ89-1525,GTEX-13OW5-3125
38,GTEX-14E6D-2525,GTEX-YJ89-0125,GTEX-145MG-3125
39,GTEX-14E6D-1325,GTEX-YJ89-0725,GTEX-145MG-0225
40,GTEX-14E6D-2925,GTEX-YJ89-1925,GTEX-145MG-3025
41,GTEX-15DCD-2925,GTEX-YJ89-0225,GTEX-145MG-0125
42,GTEX-15DCD-3025,GTEX-1LSVX-1425,GTEX-145MG-0825
43,GTEX-15DCD-0225,GTEX-1LSVX-2525,GTEX-145MG-1525
44,GTEX-15DCD-1625,GTEX-1LSVX-2425,GTEX-11DZ1-2425
45,GTEX-15DCD-0625,GTEX-1LSVX-0125,GTEX-11DZ1-0225
46,GTEX-15DCD-0125,GTEX-1LSVX-1725,GTEX-11DZ1-0325
47,GTEX-15DCD-1725,GTEX-1LSVX-1325,GTEX-11DZ1-2925
48,GTEX-1N2DW-0725,GTEX-1LSVX-0625,GTEX-11DZ1-2025
49,GTEX-1N2DW-0225,GTEX-1LSVX-2025,GTEX-11DZ1-0425
50,GTEX-1N2DW-0325,GTEX-1LSVX-1225,GTEX-11DZ1-2725
51,GTEX-1N2DW-1825,GTEX-1LSVX-0725,GTEX-11DZ1-0925
52,GTEX-1N2DW-1425,GTEX-1LSVX-2825,GTEX-11DZ1-0125
53,GTEX-1N2DW-0425,GTEX-1LSVX-2125,GTEX-13FLW-0325
54,GTEX-1N2DW-1125,GTEX-1LSVX-2625,GTEX-13FLW-1425
55,GTEX-1N2DW-2825,GTEX-1LSVX-1025,GTEX-13FLW-2125
56,GTEX-PWO3-0925,GTEX-12WSE-1125,GTEX-1RQED-0925
57,GTEX-PWO3-1525,GTEX-12WSE-1225,GTEX-1RQED-0425
58,GTEX-PWO3-1025,GTEX-12WSE-0525,GTEX-1RQED-1125
59,GTEX-R45C-2125,GTEX-12WSE-2925,GTEX-1RQED-1025
60,GTEX-R45C-0925,GTEX-12WSE-3125,GTEX-1RQED-1625
61,GTEX-R45C-1225,GTEX-12WSE-0925,GTEX-WK11-0525
62,GTEX-R45C-0225,GTEX-12WSE-0825,GTEX-WK11-1325
63,GTEX-R45C-0125,GTEX-1I1GS-0725,GTEX-WK11-0925
64,GTEX-TMZS-0125,GTEX-1I1GS-1225,GTEX-WK11-1225
65,GTEX-TMZS-0225,GTEX-1I1GS-1425,GTEX-WK11-0625
66,GTEX-TMZS-0325,GTEX-1I1GS-0925,GTEX-WK11-1125
67,GTEX-ZZPT-0925,GTEX-1I1GS-2125,GTEX-WK11-0825
68,GTEX-ZZPT-1425,GTEX-1I1GS-0225,GTEX-WK11-2725
69,GTEX-ZZPT-0625,GTEX-1I1GS-1825,GTEX-WK11-2625
70,GTEX-ZZPT-1325,GTEX-1I1GS-3225,GTEX-WK11-2525
71,GTEX-ZZPT-3025,GTEX-1I1GS-2625,GTEX-WK11-0325
72,GTEX-ZZPT-2925,GTEX-1I1GS-0325,GTEX-WK11-1025
73,GTEX-ZZPT-0225,GTEX-1I1GS-0125,GTEX-WK11-2425
74,GTEX-1RNTQ-1025,GTEX-16Z82-0125,GTEX-1C2JI-0325
75,GTEX-1RNTQ-0725,GTEX-16Z82-1725,GTEX-1C2JI-1925
76,GTEX-1RNTQ-1125,GTEX-16Z82-1925,GTEX-1C2JI-1225
77,GTEX-1RNTQ-0825,GTEX-16Z82-2225,GTEX-1C2JI-1325
78,GTEX-ZG7Y-2025,GTEX-16Z82-2025,GTEX-1C2JI-1825
79,GTEX-ZG7Y-1825,GTEX-16Z82-2925,GTEX-1C2JI-1625
80,GTEX-ZG7Y-1025,GTEX-16Z82-3125,GTEX-1C2JI-1025
81,GTEX-ZG7Y-2225,GTEX-16Z82-3025,GTEX-1C2JI-1125
82,GTEX-ZG7Y-1125,GTEX-16Z82-2425,GTEX-1C2JI-2225
83,GTEX-ZG7Y-0325,GTEX-16Z82-2725,GTEX-1C2JI-0425
84,GTEX-ZG7Y-1625,GTEX-16Z82-2625,GTEX-1C2JI-0825
85,GTEX-ZG7Y-1925,GTEX-16Z82-1025,GTEX-1C2JI-0525
86,GTEX-ZG7Y-0125,GTEX-16Z82-0425,GTEX-1C2JI-1725
87,GTEX-ZG7Y-2425,GTEX-147GR-1225,GTEX-1C2JI-0925
88,GTEX-ZG7Y-0925,GTEX-147GR-3025,GTEX-1C2JI-0625
89,GTEX-ZG7Y-2125,GTEX-147GR-2725,GTEX-1C2JI-2125
90,GTEX-ZG7Y-1425,GTEX-147GR-2825,GTEX-WHPG-0625
91,GTEX-ZG7Y-2325,GTEX-147GR-2925,GTEX-WHPG-2125
92,GTEX-ZG7Y-1325,GTEX-147GR-0725,GTEX-WHPG-0325
93,GTEX-15DCE-2025,GTEX-147GR-3125,GTEX-WHPG-1425
94,GTEX-15DCE-1625,GTEX-147GR-0525,GTEX-WHPG-0225
95,GTEX-15DCE-0825,GTEX-147GR-0125,GTEX-WHPG-1225
96,GTEX-15DCE-1325,GTEX-147GR-0425,GTEX-WHPG-0425
97,GTEX-15DCE-1525,GTEX-147GR-1325,GTEX-WHPG-0825
98,GTEX-1S82Z-0725,GTEX-147GR-2425,GTEX-WHPG-1625
99,GTEX-1S82Z-1725,GTEX-147GR-0625,GTEX-WHPG-0925
100,GTEX-1S82Z-0825,GTEX-1128S-2825,GTEX-WHPG-1025
101,GTEX-1S82Z-1825,GTEX-1128S-0925,GTEX-WHPG-2625
102,GTEX-1S82Z-0625,GTEX-1128S-2525,GTEX-WHPG-1125
103,GTEX-12WSA-0225,GTEX-1128S-2625,GTEX-WHPG-1525
104,GTEX-12WSA-1425,GTEX-1128S-0725,GTEX-WHPG-2225
105,GTEX-12WSA-0725,GTEX-1128S-0825,GTEX-WHPG-2325
106,GTEX-12WSA-1125,GTEX-1128S-2325,GTEX-WHPG-0725
107,GTEX-12WSA-0325,GTEX-1128S-2725,GTEX-13QJC-3325
108,GTEX-12WSA-1025,GTEX-1128S-0125,GTEX-13QJC-0125
109,GTEX-12WSA-2925,GTEX-1128S-2425,GTEX-13QJC-0725
110,GTEX-12WSA-0425,GTEX-1128S-2125,GTEX-13QJC-0525
111,GTEX-12WSA-1625,GTEX-1128S-1625,GTEX-13QJC-0825
112,GTEX-13SLW-0625,GTEX-1128S-0325,GTEX-13QJC-2525
113,GTEX-13SLW-2525,GTEX-1N2EE-1025,GTEX-13QJC-0625
114,GTEX-13SLW-1225,GTEX-1N2EE-0225,GTEX-13QJC-2325
115,GTEX-13SLW-0325,GTEX-1N2EE-0625,GTEX-OOBJ-2025
116,GTEX-13SLW-0125,GTEX-1N2EE-1525,GTEX-OOBJ-2625
117,GTEX-13SLW-0225,GTEX-1N2EE-0825,GTEX-OOBJ-1525
118,GTEX-13SLW-2825,GTEX-1N2EE-2925,GTEX-OOBJ-0225
119,GTEX-13SLW-0825,GTEX-1N2EE-2425,GTEX-OOBJ-3025
120,GTEX-13SLW-2925,GTEX-1N2EE-2125,GTEX-OOBJ-0125
121,GTEX-13X6I-1825,GTEX-14PJ5-0425,GTEX-OOBJ-1625
122,GTEX-13X6I-0925,GTEX-14PJ5-0225,GTEX-OOBJ-0425
123,GTEX-13X6I-0525,GTEX-14PJ5-0625,GTEX-OOBJ-1825
124,GTEX-13X6I-2925,GTEX-14PJ5-0825,GTEX-OOBJ-0825
125,GTEX-13X6I-1425,GTEX-14PJ5-0925,GTEX-OOBJ-0325
126,GTEX-13X6I-2725,GTEX-14PJ5-1925,GTEX-OOBJ-0925
127,GTEX-13X6I-1525,GTEX-14PJ5-0325,GTEX-OOBJ-0525
128,GTEX-13X6I-0625,GTEX-14PJ5-0525,GTEX-OOBJ-1425
129,GTEX-13X6I-1025,GTEX-14PJ5-2025,GTEX-OOBJ-1025
130,GTEX-1F6RS-0825,GTEX-14PJ5-1525,GTEX-OOBJ-2125
131,GTEX-1F6RS-2025,GTEX-1QP67-0725,GTEX-17KNJ-1025
132,GTEX-1F6RS-2725,GTEX-1QP67-1825,GTEX-17KNJ-1325
133,GTEX-1F6RS-3125,GTEX-1QP67-1125,GTEX-17KNJ-2525
134,GTEX-1F6RS-0125,GTEX-1QP67-1625,GTEX-17KNJ-0525
135,GTEX-1F6RS-0225,GTEX-1QP67-1025,GTEX-17KNJ-2725
136,GTEX-1LKK1-1525,GTEX-1QP67-0825,GTEX-17KNJ-2425
137,GTEX-1LKK1-2425,GTEX-1QP67-1525,GTEX-17KNJ-1125
138,GTEX-1LKK1-3125,GTEX-1QP67-1425,GTEX-17KNJ-0825
139,GTEX-1LKK1-1625,GTEX-1QP67-0325,GTEX-17KNJ-0425
140,GTEX-1LKK1-2925,GTEX-1QP67-1725,GTEX-17KNJ-2125
141,GTEX-1LKK1-3025,GTEX-1QP67-2025,GTEX-17KNJ-1725
142,GTEX-1LKK1-1125,GTEX-1QP67-1325,GTEX-17KNJ-1225
143,GTEX-1LKK1-2625,GTEX-14PJN-0625,GTEX-17KNJ-2325
144,GTEX-UPK5-0325,GTEX-14PJN-1525,GTEX-17KNJ-0925
145,GTEX-UPK5-1125,GTEX-14PJN-1625,GTEX-17KNJ-1625
146,GTEX-UPK5-1225,GTEX-14PJN-2125,GTEX-17KNJ-0325
147,GTEX-UPK5-2125,GTEX-14PJN-0925,GTEX-17KNJ-1525
148,GTEX-UPK5-1825,GTEX-14PJN-0525,GTEX-17KNJ-1925
149,GTEX-UPK5-0425,GTEX-14PJN-2225,GTEX-17KNJ-1825
150,GTEX-UPK5-1525,GTEX-14PJN-0825,GTEX-17KNJ-2225
151,GTEX-UPK5-2325,GTEX-14PJN-1825,GTEX-17KNJ-2025
152,GTEX-UPK5-1325,GTEX-14PJN-1725,GTEX-17KNJ-0625
153,GTEX-UPK5-1425,GTEX-1399T-0825,GTEX-RM2N-0825
154,GTEX-UPK5-0125,GTEX-1399T-3025,GTEX-RM2N-0125
155,GTEX-UPK5-1625,GTEX-1399T-1425,GTEX-RM2N-0725
156,GTEX-UPK5-0225,GTEX-1399T-0725,GTEX-RM2N-1825
157,GTEX-UPK5-2025,GTEX-1399T-1225,GTEX-RM2N-1425
158,GTEX-ZE9C-2325,GTEX-1399T-2625,GTEX-RM2N-0925
159,GTEX-ZE9C-2525,GTEX-1399T-0425,GTEX-RM2N-1725
160,GTEX-ZE9C-2725,GTEX-1399T-1525,GTEX-RM2N-0625
161,GTEX-ZE9C-1325,GTEX-1399T-0525,GTEX-RM2N-1325
162,GTEX-ZE9C-2125,GTEX-1399T-2425,GTEX-RM2N-0425
163,GTEX-ZE9C-3125,GTEX-1399T-1325,GTEX-RM2N-1925
164,GTEX-ZE9C-1425,GTEX-1399T-3125,GTEX-RM2N-0525
165,GTEX-ZE9C-0725,GTEX-1399T-0125,GTEX-RM2N-1125
166,GTEX-ZE9C-3025,GTEX-1399T-2725,GTEX-RM2N-1625
167,GTEX-ZE9C-1125,GTEX-1399T-2825,GTEX-RM2N-0325
168,GTEX-ZE9C-2825,GTEX-1399T-2925,GTEX-1HSMP-2325
169,GTEX-ZTTD-2825,GTEX-132Q8-2925,GTEX-1HSMP-1825
170,GTEX-ZTTD-1725,GTEX-132Q8-1725,GTEX-1HSMP-1325
171,GTEX-ZTTD-1125,GTEX-132Q8-1425,GTEX-1HSMP-0125
172,GTEX-ZTTD-1025,GTEX-132Q8-1825,GTEX-1HSMP-0525
173,GTEX-ZTTD-0625,GTEX-132Q8-0625,GTEX-1HSMP-0225
174,GTEX-ZTTD-2625,GTEX-132Q8-1125,GTEX-1HSMP-0925
175,GTEX-ZTTD-1225,GTEX-132Q8-0525,GTEX-1HSMP-0825
176,GTEX-ZTTD-2725,GTEX-132Q8-3025,GTEX-1HSMP-0325
177,GTEX-ZTTD-1425,GTEX-1OJC3-0125,GTEX-1HSMP-1125
178,GTEX-ZU9S-1925,GTEX-1OJC3-0625,GTEX-139UW-2825
179,GTEX-ZU9S-0225,GTEX-1OJC3-0825,GTEX-139UW-0325
180,GTEX-ZU9S-1625,GTEX-1OJC3-1025,GTEX-139UW-0425
181,GTEX-ZU9S-1825,GTEX-1OJC3-0725,GTEX-139UW-2625
182,GTEX-ZVE1-0525,GTEX-1OJC3-1325,GTEX-139UW-0125
183,GTEX-ZVE1-0725,GTEX-1OJC3-1925,GTEX-139UW-0225
184,GTEX-ZVT4-0125,GTEX-1OJC3-1225,GTEX-139UW-2525
185,GTEX-ZVT4-0625,GTEX-1OJC3-0925,GTEX-139UW-1125
186,GTEX-ZVT4-0225,GTEX-1OJC3-1825,GTEX-139UW-2325
187,GTEX-ZVT4-0325,GTEX-1OJC3-1625,GTEX-1EU9M-0425
188,GTEX-ZVT4-2625,GTEX-1OJC3-0525,GTEX-1EU9M-2825
189,GTEX-ZVT4-2425,GTEX-O5YW-3025,GTEX-1EU9M-1825
190,GTEX-ZVT4-1325,GTEX-O5YW-1825,GTEX-1EU9M-0225
191,GTEX-ZVT4-1025,GTEX-O5YW-0325,GTEX-1EU9M-0325
192,GTEX-ZWKS-2825,GTEX-O5YW-0125,GTEX-1EU9M-1425
193,GTEX-ZWKS-0125,GTEX-O5YW-0525,GTEX-1EU9M-2325
194,GTEX-ZWKS-0625,GTEX-O5YW-0425,GTEX-1EU9M-1625
195,GTEX-ZWKS-0325,GTEX-O5YW-1425,GTEX-1EU9M-0125
196,GTEX-11WQK-2925,GTEX-O5YW-1525,GTEX-1EU9M-3025
197,GTEX-11WQK-1225,GTEX-13NZB-2225,GTEX-1EU9M-1125
198,GTEX-11WQK-0225,GTEX-13NZB-2025,GTEX-1EU9M-2925
199,GTEX-11WQK-2625,GTEX-13NZB-2125,GTEX-1EU9M-2125
200,GTEX-11WQK-2425,GTEX-13NZB-2425,GTEX-1EU9M-1725
201,GTEX-11WQK-2725,GTEX-13NZB-2625,GTEX-1EU9M-1525
202,GTEX-11WQK-1025,GTEX-13NZB-2525,GTEX-1EU9M-0625
203,GTEX-11WQK-2825,GTEX-13NZB-0625,GTEX-1EU9M-1925
204,GTEX-11WQK-1825,GTEX-13NZB-0425,GTEX-1EU9M-2025
205,GTEX-11WQK-2225,GTEX-13NZB-0825,GTEX-1EU9M-2725
206,GTEX-11WQK-1525,GTEX-13NZB-0225,GTEX-V1D1-0225
207,GTEX-11WQK-0525,GTEX-13NZB-1225,GTEX-V1D1-1025
208,GTEX-11WQK-0325,GTEX-145MF-0525,GTEX-V1D1-1225
209,GTEX-11WQK-3225,GTEX-145MF-0925,GTEX-V1D1-2025
210,GTEX-11WQK-3025,GTEX-145MF-1525,GTEX-V1D1-0825
211,GTEX-11WQK-0725,GTEX-145MF-2225,GTEX-V1D1-0725
212,GTEX-12WSI-0825,GTEX-145MF-1025,GTEX-V1D1-1725
213,GTEX-12WSI-1525,GTEX-145MF-2725,GTEX-V1D1-2625
214,GTEX-12WSI-0225,GTEX-145MF-1725,GTEX-V1D1-0325
215,GTEX-12WSI-2125,GTEX-145MF-0425,GTEX-V1D1-0525
216,GTEX-12WSI-0425,GTEX-145MF-2625,GTEX-V1D1-0625
217,GTEX-1399Q-2825,GTEX-145MF-0725,GTEX-V1D1-1125
218,GTEX-1399Q-2325,GTEX-145MF-0625,GTEX-V1D1-1925
219,GTEX-1399Q-1125,GTEX-145MF-1425,GTEX-V1D1-2225
220,GTEX-1399Q-2425,GTEX-145MF-0825,GTEX-V1D1-2425
221,GTEX-14PJ2-1225,GTEX-145MF-2825,GTEX-V1D1-2125
222,GTEX-14PJ2-0625,GTEX-1N2EF-1725,GTEX-V1D1-0925
223,GTEX-14PJ2-0225,GTEX-1N2EF-2325,GTEX-147F4-0325
224,GTEX-14PJ2-2825,GTEX-1N2EF-1925,GTEX-147F4-2525
225,GTEX-14PJ2-2125,GTEX-1N2EF-0525,GTEX-147F4-0625
226,GTEX-14PJ2-1525,GTEX-1N2EF-2225,GTEX-147F4-3125
227,GTEX-14PJ2-2025,GTEX-1N2EF-2125,GTEX-147F4-1125
228,GTEX-14PJ2-2725,GTEX-1N2EF-0225,GTEX-147F4-0925
229,GTEX-14PJ2-0325,GTEX-1N2EF-0325,GTEX-147F4-0725
230,GTEX-14PJ2-1125,GTEX-1N2EF-3025,GTEX-147F4-1425
231,GTEX-14PJ2-1025,GTEX-1N2EF-2825,GTEX-147F4-1025
232,GTEX-14PJ2-1425,GTEX-1N2EF-1525,GTEX-147F4-0825
233,GTEX-1OKEX-1225,GTEX-1N2EF-1425,GTEX-147F4-0225
234,GTEX-1OKEX-0725,GTEX-1N2EF-0925,GTEX-147F4-1225
235,GTEX-1OKEX-0925,GTEX-1N2EF-0625,GTEX-147F4-2625
236,GTEX-1OKEX-1125,GTEX-RWSA-2425,GTEX-147F4-2825
237,GTEX-1OKEX-1825,GTEX-RWSA-2025,GTEX-147F4-0125
238,GTEX-1OKEX-1325,GTEX-RWSA-1425,GTEX-147F4-3025
239,GTEX-1OKEX-1425,GTEX-RWSA-0225,GTEX-147F4-1325
240,GTEX-1OKEX-1725,GTEX-RWSA-1325,GTEX-12WSH-2525
241,GTEX-1OKEX-0825,GTEX-RWSA-0125,GTEX-12WSH-0125
242,GTEX-1OKEX-1925,GTEX-RWSA-0825,GTEX-12WSH-3125
243,GTEX-1OKEX-0625,GTEX-RWSA-0925,GTEX-12WSH-1525
244,GTEX-OOBK-0125,GTEX-RWSA-0525,GTEX-12WSH-2825
245,GTEX-OOBK-1025,GTEX-RWSA-1125,GTEX-12WSH-2925
246,GTEX-OOBK-0725,GTEX-RWSA-0725,GTEX-12WSH-0225
247,GTEX-OOBK-2125,GTEX-RWSA-1725,GTEX-12WSH-0325
248,GTEX-OOBK-0225,GTEX-RWSA-0625,GTEX-12WSH-3025
249,GTEX-OOBK-1625,GTEX-1F52S-0125,GTEX-13OVH-0425
250,GTEX-OOBK-0426,GTEX-1F52S-3025,GTEX-13OVH-0625
251,GTEX-OOBK-0525,GTEX-1F52S-0225,GTEX-13OVH-0725
252,GTEX-OOBK-2026,GTEX-1F52S-0525,GTEX-13OVH-0125
253,GTEX-OOBK-0626,GTEX-1F52S-0825,GTEX-13OVH-1825
254,GTEX-S4Z8-2125,GTEX-1F52S-3125,GTEX-13OVH-1125
255,GTEX-S4Z8-0125,GTEX-1F52S-1325,GTEX-13OVH-1025
256,GTEX-S4Z8-0525,GTEX-1F52S-0425,GTEX-13OVH-2925
257,GTEX-S4Z8-0925,GTEX-1F52S-1425,GTEX-13OVH-3025
258,GTEX-S4Z8-0625,GTEX-1F52S-3225,GTEX-13OVH-3125
259,GTEX-S4Z8-0225,GTEX-1F52S-2225,GTEX-13OVH-0525
260,GTEX-S4Z8-1225,GTEX-1F52S-2925,GTEX-ZDTT-1125
261,GTEX-S4Z8-0725,GTEX-1GMRU-0825,GTEX-ZDTT-1025
262,GTEX-WQUQ-2425,GTEX-1GMRU-1525,GTEX-ZDTT-2725
263,GTEX-WQUQ-0125,GTEX-1GMRU-0325,GTEX-ZDTT-1725
264,GTEX-WQUQ-2625,GTEX-1GMRU-3125,GTEX-ZDTT-0725
265,GTEX-WQUQ-1925,GTEX-1GMRU-1425,GTEX-ZDTT-2025
266,GTEX-WQUQ-1525,GTEX-1GMRU-0525,GTEX-ZDTT-2125
267,GTEX-WQUQ-0425,GTEX-1GMRU-0425,GTEX-ZDTT-2625
268,GTEX-WQUQ-1825,GTEX-1GMRU-2625,GTEX-ZDTT-0225
269,GTEX-WQUQ-0325,GTEX-1GMRU-0725,GTEX-ZDTT-1325
270,GTEX-WQUQ-1425,GTEX-1GMRU-0225,GTEX-ZDTT-0525
271,GTEX-WQUQ-2525,GTEX-1GMRU-3025,GTEX-ZDTT-0125
272,GTEX-WQUQ-2125,GTEX-1GMRU-2125,GTEX-ZDTT-2425
273,GTEX-WQUQ-1625,GTEX-1GMRU-1125,GTEX-ZDTT-0925
274,GTEX-WQUQ-1325,GTEX-1GMRU-0625,GTEX-ZDTT-1225
275,GTEX-XK95-1025,GTEX-1GMRU-1325,GTEX-ZDTT-1925
276,GTEX-XK95-0425,GTEX-1GMRU-0125,GTEX-ZDTT-0325
277,GTEX-XK95-0225,GTEX-1GMRU-2525,GTEX-ZDTT-0425
278,GTEX-XK95-2725,GTEX-ZXG5-0925,GTEX-15DDE-2925
279,GTEX-XQ3S-0525,GTEX-ZXG5-0325,GTEX-15DDE-0625
280,GTEX-XQ3S-2725,GTEX-ZXG5-0825,GTEX-15DDE-2325
281,GTEX-XQ3S-2525,GTEX-ZXG5-0525,GTEX-15DDE-0125
282,GTEX-XQ3S-1225,GTEX-ZXG5-2825,GTEX-15DDE-3225
283,GTEX-XQ3S-1625,GTEX-ZXG5-2125,GTEX-15DDE-1125
284,GTEX-XQ3S-1525,GTEX-ZXG5-0125,GTEX-15DDE-0525
285,GTEX-XQ3S-0625,GTEX-ZXG5-0625,GTEX-15DDE-0325
286,GTEX-XQ3S-1425,GTEX-ZXG5-1625,GTEX-15DDE-0225
287,GTEX-XQ3S-2425,GTEX-ZXG5-0225,GTEX-15DDE-1325
288,GTEX-XQ3S-0125,GTEX-ZXG5-0425,GTEX-15DDE-1225
289,GTEX-XQ3S-1725,GTEX-13O1R-1025,GTEX-15DDE-0425
290,GTEX-XQ3S-0925,GTEX-13O1R-0425,GTEX-131XE-0325
291,GTEX-XQ3S-1325,GTEX-13O1R-1525,GTEX-131XE-2725
292,GTEX-XQ3S-1125,GTEX-13O1R-2525,GTEX-131XE-2525
293,GTEX-XQ3S-1025,GTEX-13O1R-0125,GTEX-131XE-0125
294,GTEX-XQ3S-0425,GTEX-13O1R-0725,GTEX-131XE-0925
295,GTEX-117XS-0725,GTEX-13O1R-0525,GTEX-131XE-1925
296,GTEX-117XS-3025,GTEX-13O1R-1225,GTEX-131XE-1025
297,GTEX-117XS-0525,GTEX-13O1R-3225,GTEX-131XE-0425
298,GTEX-117XS-2225,GTEX-13O1R-2425,GTEX-131XE-0525
299,GTEX-117XS-2525,GTEX-13O1R-0925,GTEX-131XE-2425
300,GTEX-117XS-2025,GTEX-13O1R-0825,GTEX-131XE-2325
301,GTEX-117XS-2725,GTEX-13O1R-2025,GTEX-131XE-1125
302,GTEX-117XS-1925,GTEX-13O1R-1325,GTEX-131XE-0825
303,GTEX-117XS-3125,GTEX-13O1R-0225,GTEX-131XE-1425
304,GTEX-117XS-0425,GTEX-13O1R-1825,GTEX-131XE-0725
305,GTEX-117XS-2925,GTEX-13O1R-2325,GTEX-131XE-1225
306,GTEX-1192W-3025,GTEX-1ICLY-1525,GTEX-131XE-0625
307,GTEX-1192W-0225,GTEX-1ICLY-1425,GTEX-131XE-2025
308,GTEX-1192W-0125,GTEX-1ICLY-2225,GTEX-131XE-2225
309,GTEX-1192W-2625,GTEX-1ICLY-2325,GTEX-131XE-1525
310,GTEX-11DXY-1025,GTEX-1ICLY-1725,GTEX-131XE-2625
311,GTEX-11DXY-0525,GTEX-1ICLY-0925,GTEX-1QMI2-1925
312,GTEX-11DXY-3025,GTEX-1ICLY-0525,GTEX-1QMI2-0225
313,GTEX-11DXY-2625,GTEX-1ICLY-0225,GTEX-1QMI2-2125
314,GTEX-11DXY-2725,GTEX-1ICLY-0325,GTEX-1QMI2-0325
315,GTEX-11DXY-2025,GTEX-1ICLY-0125,GTEX-1QMI2-0925
316,GTEX-11DXY-2325,GTEX-1ICLY-2925,GTEX-1QMI2-1025
317,GTEX-11DXY-0825,GTEX-1ICLY-1125,GTEX-1QMI2-3025
318,GTEX-11DXY-1525,GTEX-1ICLY-0725,GTEX-1QMI2-2525
319,GTEX-11DXY-1425,GTEX-1ICLY-1325,GTEX-1QMI2-3125
320,GTEX-11DXY-0125,GTEX-1ICLY-0825,GTEX-1QMI2-0825
321,GTEX-11DXY-1625,GTEX-1ICLY-0425,GTEX-1QMI2-0725
322,GTEX-11DXY-3225,GTEX-14PJ3-1725,GTEX-1QMI2-2325
323,GTEX-11DXY-3125,GTEX-14PJ3-1925,GTEX-1QMI2-0425
324,GTEX-11DXY-1125,GTEX-14PJ3-1825,GTEX-1QMI2-0525
325,GTEX-11DXY-0425,GTEX-14PJ3-1425,GTEX-1QMI2-1525
326,GTEX-11DXY-1325,GTEX-14PJ3-1325,GTEX-1QMI2-2825
327,GTEX-11DXY-0325,GTEX-14PJ3-1125,GTEX-1QMI2-2625
328,GTEX-11DXY-0225,GTEX-14PJ3-0925,GTEX-1QMI2-1625
329,GTEX-11OF3-3025,GTEX-14PJ3-0625,GTEX-1AYCT-2425
330,GTEX-11OF3-2425,GTEX-14PJ3-1225,GTEX-1AYCT-0625
331,GTEX-11OF3-1325,GTEX-14PJ3-0425,GTEX-1AYCT-0525
